Country/Region,Province/State,abbr.,Population,Land Area (miÂ²)
US,Alabama,AL,4903185,50645
US,Alaska,AK,731545,570641
US,Arizona,AZ,7278717,113594
US,Arkansas,AR,3017804,52035
US,California,CA,39512223,155779
US,Colorado,CO,5758736,103642
US,Connecticut,CT,3565278,4842
US,Delaware,DE,973764,1949
US,Florida,FL,21477737,53625
US,Georgia,GA,10617423,57513
US,Hawaii,HI,1415872,6423
US,Idaho,ID,1787065,82643
US,Illinois,IL,12671821,55519
US,Indiana,IN,6732219,35826
US,Iowa,IA,3155070,55857
US,Kansas,KS,2913314,81759
US,Kentucky,KY,4467673,39486
US,Louisiana,LA,4648794,43204
US,Maine,ME,1344212,30843
US,Maryland,MD,6045680,9707
US,Massachusetts,MA,6892503,7800
US,Michigan,MI,9986857,56539
US,Minnesota,MN,5639632,79627
US,Mississippi,MS,2976149,46923
US,Missouri,MO,6137428,68742
US,Montana,MT,1068778,145546
US,Nebraska,NE,1934408,76824
US,Nevada,NV,3080156,109781
US,New Hampshire,NH,1359711,8953
US,New Jersey,NJ,8882190,7354
US,New Mexico,NM,2096829,121298
US,New York,NY,19453561,47126
US,North Carolina,NC,10488084,48618
US,North Dakota,ND,762062,69001
US,Ohio,OH,11689100,40861
US,Oklahoma,OK,3956971,68595
US,Oregon,OR,4217737,95988
US,Pennsylvania,PA,12801989,44743
US,Rhode Island,RI,1059361,1034
US,South Carolina,SC,5148714,30061
US,South Dakota,SD,884659,75811
US,Tennessee,TN,6829174,41235
US,Texas,TX,28995881,261232
US,Utah,UT,3205958,82170
US,Vermont,VT,623989,9217
US,Virginia,VA,8535519,39490
US,Washington,WA,7614893,66456
US,West Virginia,WV,1792147,24038
US,Wisconsin,WI,5822434,54158
US,Wyoming,WY,578759,97093
US,District of Columbia,DC,705749,61
,,,,
US,Recovered,,,